label_regime,model_name,spearman_rho_mean,spearman_rho_std,ndcg_mean,ndcg_std,precision_mean,precision_std,runtime_sec,train_sec
a0,appnp_raw_attr,0.3217872546721505,0.4468102361451245,0.548121875162784,0.2978853089036117,0.344,0.205679362114919,0.7894366264343262,285.990302848816
a0,best_arch_raw_attr_rankloss,0.8114702071088736,0.0009710164040051,0.8492887535550866,0.0016737289397613,0.546,0.0048989794855663,0.1649622440338135,59.19464464187622
a0,gat_raw_attr,0.3616713720381506,0.0766579096606519,0.5114609203046623,0.0131667181575037,0.374,0.020591260281974,0.1388516426086425,61.39710311889648
a0,gcn_raw_attr,0.8102470047778215,0.0008568314876531,0.843668901640576,0.0020485169672933,0.53,0.0063245553203367,0.1649781227111816,58.98208122253418
a0,gin_raw_attr,0.6296765134728204,0.0086683112294606,0.7174018561903084,0.0115500473304188,0.378,0.016,0.0855547904968261,27.46843228340149
a0,gnn_centrality,0.8168154191690205,0.0016958184298284,0.8596542511809314,0.0025981942752267,0.572,0.0074833147735478,0.0673576831817626,23.480105876922607
a0,gnn_full,0.802872105172321,0.0024870685106731,0.8532921593456211,0.0040284147477564,0.558,0.0074833147735478,0.0911422729492187,28.262068653106688
a0,gnn_graph_only,0.4703767603816787,0.0278874750769075,0.835040291039338,0.0182143740479533,0.514,0.0338230690505755,0.0654335975646972,23.116965198516844
a0,gnn_raw_attr,0.5139840250988946,0.006988976629686,0.7207005724371165,0.0111316675186012,0.48,0.0063245553203367,0.0856066226959228,27.18741641044617
hscc,appnp_raw_attr,-0.0314476564964203,0.0979278624701221,0.4564943188324011,0.0504876314878688,0.026,0.008,0.789856243133545,286.12621397972106
hscc,best_arch_raw_attr_rankloss,0.9240532043125744,0.0019429504670704,0.91092258976166,0.0025439811221167,0.602,0.0074833147735478,0.0856356620788574,27.40517978668213
hscc,gat_raw_attr,0.6081781924207041,0.034296123427800904,0.7075737493456874,0.023284869601177646,0.25,0.02756809750418044,0.13892226219177245,61.46281261444092
hscc,gcn_raw_attr,0.602182554556205,0.0140413039670102,0.6938590160043796,0.0042701654771076,0.214,0.0135646599662505,0.1649643421173095,58.99659113883972
hscc,gin_raw_attr,0.050777940245167,0.0619113421963401,0.4817656462767586,0.0407307994128708,0.046,0.0387814388593306,0.0857962131500244,27.476184368133545
hscc,gnn_centrality,0.3751292424627487,0.0044700061059223,0.6441192827701218,0.0102762179268025,0.2,0.0178885438199983,0.0673964500427246,23.502345514297485
hscc,gnn_full,0.917957369829747,0.0029260469140655,0.9041127879046982,0.0047643723891357,0.5999999999999999,0.0089442719099991,0.0912065029144287,28.24752850532532
hscc,gnn_graph_only,0.250049296554896,0.0041616694024427,0.5905906894690036,0.0192542577598719,0.198,0.0116619037896905,0.0654236316680908,23.128100156784058
hscc,gnn_raw_attr,0.9154811836341354,0.0042326467592488,0.9019368422326072,0.0061712383555494,0.578,0.0116619037896905,0.0856410026550293,27.19507780075073
